やれ,839,846,11485,助動詞,*,*,*,文語四段-ラ行,已然形-一般,ヤル,やる,やれ,ヤレ,ヤレ,和,やる,ヤル,ヤル,ヤル,*,*,*,*,*,*,*,*,*
その,8998,11077,11610,連体詞,*,*,*,*,*,ソノ,其の,その,ソノ,ソノ,和,その,ソノ,ソノ,ソノ,*,*,*,*,*,*,0,*,*
おとこ,7675,8961,10250,名詞,普通名詞,一般,*,*,*,オトコ,男,おとこ,オトコ,オトコ,和,おとこ,オトコ,オトコ,オトコ,*,*,*,*,*,*,3,C2,*
しのふすり,7675,8961,10985,名詞,普通名詞,一般,*,*,*,シノブズリ,忍摺り,しのぶずり,シノブズリ,シノブズリ,和,しのぶずり,シノブズリ,シノブズリ,シノブズリ,*,*,*,*,*,*,"0,3",C2,*
かすかの,7099,8492,11225,名詞,固有名詞,人名,姓,*,*,カスガノ,カスガノ,春日野,カスガノ,カスガノ,固,春日野,カスガノ,カスガノ,カスガノ,*,*,*,*,*,*,0,*,*
かすかの,7103,8494,9243,名詞,固有名詞,地名,一般,*,*,カスガノ,カスガノ,春日野,カスガノ,カスガノ,固,春日野,カスガノ,カスガノ,カスガノ,*,*,*,*,*,*,1,*,*
わかむらさき,7675,8961,10984,名詞,普通名詞,一般,*,*,*,ワカムラサキ,若紫,わかむらさき,ワカムラサキ,ワカムラサキ,和,わかむらさき,ワカムラサキ,ワカムラサキ,ワカムラサキ,*,*,*,*,*,*,4,C1,*
すりころも,7675,8961,10984,名詞,普通名詞,一般,*,*,*,スリゴロモ,摺り衣,すりごろも,スリゴロモ,スリゴロモ,和,すりごろも,スリゴロモ,スリゴロモ,スリゴロモ,*,*,*,*,*,*,3,C1,*
しのふ,7675,8961,9475,名詞,普通名詞,一般,*,*,*,シノブ,忍,しのぶ,シノブ,シノブ,和,しのぶ,シノブ,シノブ,シノブ,*,*,*,*,*,*,1,C1,*
みたれ,7675,8961,11675,名詞,普通名詞,一般,*,*,*,ミダレ,乱れ,みだれ,ミダレ,ミダレ,和,みだれ,ミダレ,ミダレ,ミダレ,*,*,*,*,*,*,3,C2,*
かきり,7687,9115,8434,名詞,普通名詞,副詞可能,*,*,*,カギリ,限り,かぎり,カギリ,カギリ,和,かぎり,カギリ,カギリ,カギリ,*,*,*,*,*,*,"1,3",C1,*
しれ,2151,2698,10562,動詞,一般,*,*,文語四段-ラ行,命令形,シル,知る,しれ,シレ,シレ,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しれ,2153,2706,11173,動詞,一般,*,*,文語四段-ラ行,已然形-一般,シル,知る,しれ,シレ,シレ,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しら,2157,2722,9439,動詞,一般,*,*,文語四段-ラ行,未然形-一般,シル,知る,しら,シラ,シラ,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しる,2159,2730,10840,動詞,一般,*,*,文語四段-ラ行,終止形-一般,シル,知る,しる,シル,シル,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しる,2161,2738,8863,動詞,一般,*,*,文語四段-ラ行,連体形-一般,シル,知る,しる,シル,シル,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しり,2163,2746,8251,動詞,一般,*,*,文語四段-ラ行,連用形-一般,シル,知る,しり,シリ,シリ,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
しつ,2165,2754,14162,動詞,一般,*,*,文語四段-ラ行,連用形-促音便,シル,知る,しつ,シッ,シッ,和,しる,シル,シル,シル,*,*,*,*,*,*,0,C2,*
おいつけ,2025,2472,11070,動詞,一般,*,*,文語四段-カ行,命令形,オイヅク,老い付く,老いつけ,オイズケ,オイヅケ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
おいつけ,2027,2478,12520,動詞,一般,*,*,文語四段-カ行,已然形-一般,オイヅク,老い付く,老いつけ,オイズケ,オイヅケ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
おいつか,2031,2490,11856,動詞,一般,*,*,文語四段-カ行,未然形-一般,オイヅク,老い付く,老いつか,オイズカ,オイヅカ,和,老いつく,オイズク,オイヅク,オイヅク,*,*,*,*,*,*,3,C1,*
